createUser,2025-06-01T18:40:22.641841
updateUserEmail,2025-06-01T18:40:22.645376
createArtwork,2025-06-01T18:40:22.647353
createUser,2025-06-01T18:40:22.649726
createBid,2025-06-01T18:40:22.651158
getBidsForArtwork,2025-06-01T18:40:22.654397
deleteBid,2025-06-01T18:40:22.655537
deleteArtwork,2025-06-01T18:40:22.656326
deleteUser,2025-06-01T18:40:22.657324
deleteUser,2025-06-01T18:40:22.658026
createUser,2025-06-01T23:09:54.011322
updateUserEmail,2025-06-01T23:09:54.014127
createArtwork,2025-06-01T23:09:54.016104
updateArtwork,2025-06-01T23:09:54.017301
createUser,2025-06-01T23:09:54.019813
createBid,2025-06-01T23:09:54.021002
updateBid,2025-06-01T23:09:54.021845
createTransaction,2025-06-01T23:09:54.027383
updateTransaction,2025-06-01T23:09:54.028540
deleteBid,2025-06-01T23:09:54.029213
createUser,2025-06-01T23:11:04.257160
updateUserEmail,2025-06-01T23:11:04.260403
createArtwork,2025-06-01T23:11:04.262667
updateArtwork,2025-06-01T23:11:04.263646
createUser,2025-06-01T23:11:04.266377
createBid,2025-06-01T23:11:04.267746
updateBid,2025-06-01T23:11:04.268812
createTransaction,2025-06-01T23:11:04.274021
updateTransaction,2025-06-01T23:11:04.275136
deleteBid,2025-06-01T23:11:04.275918
getAllTransactions,2025-06-01T23:11:04.279879
deleteTransaction,2025-06-01T23:11:04.280716
deleteArtwork,2025-06-01T23:11:04.281657
deleteUser,2025-06-01T23:11:04.282230
deleteUser,2025-06-01T23:11:04.282839
getAllArtworks,2025-06-01T23:19:58.060322
createUser,2025-06-01T23:26:58.580272
updateUserEmail,2025-06-01T23:26:58.583305
createArtwork,2025-06-01T23:26:58.586156
updateArtwork,2025-06-01T23:26:58.586980
createUser,2025-06-01T23:26:58.589317
createBid,2025-06-01T23:26:58.590432
updateBid,2025-06-01T23:26:58.591292
createTransaction,2025-06-01T23:26:58.596366
updateTransaction,2025-06-01T23:26:58.597688
deleteBid,2025-06-01T23:26:58.598741
getAllTransactions,2025-06-01T23:26:58.603440
deleteTransaction,2025-06-01T23:26:58.604266
deleteArtwork,2025-06-01T23:26:58.605312
deleteUser,2025-06-01T23:26:58.608297
deleteUser,2025-06-01T23:26:58.609475
getAllArtworks,2025-06-01T23:27:08.965804
